,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date,daysSinceLastDividend,BBP,Exponential Moving Average,day1,day2,day3,day4,close on day 0,close on day 1,close on day 2,close on day 3,close on day 4
1300,LANC,Lancaster Colony Corporation,Nasdaq,Consumer Non-Durables,Packaged Foods,2.8,1599523200.0,0,0.0,0.0,0.0,0.0,2020-08-26,0.96,1.25,+30.21,2020-11-02,-13.0,0.38159106008133803,1.0537163897983806,0.0,0.0,1.0,1.0,166.60012817382812,166.4407501220703,166.5403594970703,170.39532470703125,168.54254150390625
1301,LNDC,Landec Corporation,Nasdaq,Consumer Non-Durables,Packaged Foods,,0.0,0,0.0,0.0,0.0,0.0,2020-08-10,0.03,0.05,+78.57,2020-12-31,0.0,0.4271583065595795,0.7997091418171122,1.0,1.0,1.0,1.0,9.600000381469727,9.859999656677246,10.109999656677246,10.289999961853027,10.319999694824219
1302,LE,"Lands&#39; End, Inc.",Nasdaq,Consumer Services,Clothing/Shoe/Accessory Stores,,0.0,0,0.0,0.0,0.0,0.0,2020-09-01,-0.31,0.13,+141.94,,0.0,0.8487273991555258,0.9481890536590237,0.0,0.0,1.0,1.0,12.970000267028809,12.539999961853027,12.539999961853027,13.0600004196167,13.380000114440918
1303,LTRN,Lantern Pharma Inc.,Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-06-11,-,-,-,,0.0,,,0.0,0.0,0.0,0.0,,,,,
1304,LTRX,"Lantronix, Inc.",Nasdaq,Technology,Computer Communications Equipment,,0.0,0,0.0,0.0,0.0,0.0,2020-09-09,0.03,0.04,+48.15,,0.0,0.6595114607058513,1.4645833754645943,0.0,0.0,0.0,0.0,5.21999979019165,5.0,4.820000171661377,4.679999828338623,4.679999828338623
1305,LEGH,Legacy Housing Corporation,Nasdaq,Basic Industries,Homebuilding,,0.0,0,0.0,0.0,0.0,2.0,2020-08-14,0.34,0.36,+5.88,,0.0,0.6316181820473938,0.8710257757166034,1.0,0.0,1.0,1.0,14.25,14.4399995803833,14.130000114440918,14.449999809265137,14.789999961853027
1306,LEGN,Legend Biotech Corporation,Nasdaq,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-27,-0.26,-1.26,-384.62,,0.0,0.2358245633763359,,1.0,1.0,0.0,0.0,34.290000915527344,36.09000015258789,35.060001373291016,34.13999938964844,34.11000061035156
1307,TREE,"LendingTree, Inc.",Nasdaq,Finance,Finance: Consumer Services,,1355356800.0,0,0.0,2.0,0.0,2.0,2020-07-16,-0.04,0.46,+1250,,2772.0,0.6376397655176624,0.8011686512163796,1.0,0.0,1.0,1.0,300.1600036621094,302.3999938964844,296.8299865722656,305.44000244140625,315.489990234375
1308,LEVL,"Level One Bancorp, Inc.",Nasdaq,Finance,Major Banks,0.2,1593388800.0,0,0.0,0.0,0.0,1.0,2020-07-28,0.47,0.26,-45.03,,29.0,0.23203573881963116,0.6874702586158304,0.0,0.0,0.0,1.0,16.790000915527344,16.68000030517578,16.40999984741211,16.31999969482422,16.8700008392334
1309,LX,LexinFintech Holdings Ltd.,Nasdaq,Finance,Finance: Consumer Services,,0.0,0,0.0,1.0,0.0,0.0,2020-08-17,2.25,2.21,-1.78,,0.0,-0.3680858427455045,0.7768821709076212,1.0,1.0,1.0,0.0,8.529999732971191,8.640000343322754,8.979999542236328,8.800000190734863,8.430000305175781
