,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date,daysSinceLastDividend
14,ABM,ABM Industries Incorporated,NYSE,Finance,Diversified Commercial Services,0.74,1601424000.0,0,0.0,1.0,0.0,1.0,2020-09-07,0.42,0.75,+79.43,2020-12-16,-23.0
15,AKR,Acadia Realty Trust,NYSE,Consumer Services,Real Estate Investment Trusts,,1585526400.0,0,0.0,0.0,0.0,2.0,2020-08-04,0.05,0.22,+378.26,2020-10-21,127.0
16,ACEL,"Accel Entertainment, Inc.",NYSE,Consumer Services,Services-Misc. Amusement & Recreation,,0.0,0,0.0,0.0,0.0,0.0,2020-08-05,-0.17,-0.17,-,,0.0
17,ACN,Accenture plc,NYSE,Miscellaneous,Business Services,3.2,1594771200.0,0,0.0,4.0,1.0,1.0,2020-06-24,1.85,1.9,+2.93,2020-12-17,-21.0
18,ACCO,Acco Brands Corporation,NYSE,Consumer Durables,Publishing,0.26,1598313600.0,0,0.0,0.0,0.0,0.0,2020-07-27,-,0.12,-,2020-10-27,-29.0
19,AYI,"Acuity Brands, Inc. ",NYSE,Consumer Durables,Building Products,0.52,1594857600.0,0,0.0,5.0,1.0,2.0,2020-06-29,1.22,1.94,+59.15,2020-10-08,-17.0
20,GOLF,Acushnet Holdings Corp.,NYSE,Consumer Non-Durables,Recreational Products/Toys,0.62,1599091200.0,0,0.0,0.0,2.0,1.0,2020-08-04,0.16,0.03,-81.25,2020-10-29,-30.0
21,ADX,"Adams Diversified Equity Fund, Inc.",NYSE,,,0.2,1597622400.0,0,0.0,0.0,0.0,0.0,2020-07-23,-,-,-,2020-10-12,-25.0
22,ADCT,ADC Therapeutics SA,NYSE,Health Care,Major Pharmaceuticals,,0.0,0,0.0,0.0,0.0,0.0,2020-08-17,-0.65,-0.73,-12.31,,0.0
23,AGRO,Adecoagro S.A.,NYSE,Consumer Non-Durables,Farming/Seeds/Milling,,0.0,0,0.0,0.0,0.0,0.0,2020-08-12,-,-,-,2020-11-11,0.0
24,ADNT,Adient plc,NYSE,Capital Goods,Auto Parts:O.E.M.,,1540252800.0,0,0.0,2.0,0.0,1.0,2020-08-05,-2.08,-2.78,-33.59,2020-11-05,652.0
25,ADT,ADT Inc.,NYSE,Consumer Services,Diversified Commercial Services,0.14,1600300800.0,0,0.0,0.0,0.0,2.0,2020-08-04,0.29,0.41,+40.41,2020-11-10,-44.0
26,ATGE,Adtalem Global Education Inc.,NYSE,Consumer Services,Other Consumer Services,,1480464000.0,0,0.0,0.0,0.0,0.0,2020-08-17,0.64,0.58,-9.8,2020-10-27,1356.0
27,AAP,Advance Auto Parts Inc,NYSE,Consumer Services,Other Specialty Stores,1.0,1600300800.0,0,0.0,5.0,1.0,2.0,2020-08-17,1.98,2.92,+47.25,2020-11-10,-31.0
28,ADSW,"Advanced Disposal Services, Inc.",NYSE,Public Utilities,Environmental Services,,0.0,0,0.0,0.0,0.0,1.0,2020-07-29,-,0.19,+9400,2020-10-27,0.0
29,ASIX,AdvanSix Inc.,NYSE,Basic Industries,Major Chemicals,,0.0,0,0.0,0.0,0.0,0.0,2020-07-30,0.31,0.41,+32.26,,0.0
30,ACM,AECOM,NYSE,Consumer Services,Military/Government/Technical,,0.0,0,0.0,2.0,0.0,0.0,2020-08-03,0.49,0.55,+12.02,2020-11-10,0.0
