"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"TDW","Tidewater Inc.","6.9","$278.5M","2017","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/tdw"
"TDW.WS.A","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdw.ws.a"
"TDW.WS.B","Tidewater Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/tdw.ws.b"
"TIF","Tiffany & Co.","122.39","$14.85B","1987","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/tif"
"TLYS","Tilly&#39;s, Inc.","6.63","$197.44M","2012","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/tlys"
"TSU","TIM Participacoes S.A.","13.89","$6.72B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/tsu"
"TKR","Timken Company (The)","57.38","$4.31B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/tkr"
"TMST","TimkenSteel Corporation","3.86","$173.84M","2014","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/tmst"
"TWI","Titan International, Inc.","2.62","$159.62M","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/twi"
"TJX","TJX Companies, Inc. (The)","56.73","$67.96B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/tjx"
"TOL","Toll Brothers, Inc.","43.57","$5.47B","n/a","Capital Goods","Homebuilding","https://old.nasdaq.com/symbol/tol"
"TR","Tootsie Roll Industries, Inc.","31.85","$2.12B","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/tr"
"BLD","TopBuild Corp.","162.31","$5.37B","2015","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/bld"
"TTC","Toro Company (The)","78.27","$8.39B","n/a","Capital Goods","Tools/Hardware","https://old.nasdaq.com/symbol/ttc"
"TD","Toronto Dominion Bank (The)","49.77","$90.19B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/td"
"SHLL","Tortoise Acquisition Corp.","55.85","$1.63B","2019","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/shll"
"SHLL.U","Tortoise Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/shll.u"
"SHLL.WS","Tortoise Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/shll.ws"
"NDP","Tortoise Energy Independence Fund, Inc.","11.39","$21.03M","2012","n/a","n/a","https://old.nasdaq.com/symbol/ndp"
"TYG","Tortoise Energy Infrastructure Corporation","16.25","$216.68M","2004","n/a","n/a","https://old.nasdaq.com/symbol/tyg"
