,Symbol,Name,Exchange,Sector,industry,dividendRate,exDividendDate,lastSplitDate,lastSplitFactor,Buy,Sell,Hold,Previous_Earnings_Date,Expected,Actual,Surprise,Future Earnings Date
92,APH,Amphenol Corporation,NYSE,Capital Goods,Electrical Products,1,1600041600,,,2,0,2,2020-07-21,0.63,0.81,+29.6,2020-10-21
93,AXR,AMREP Corporation,NYSE,Consumer Services,Newspapers/Magazines,,1186531200,,,0,0,0,2020-09-08,-,-,-,
94,AME,"AMTEK, Inc.",NYSE,Consumer Durables,Metal Fabrications,0.72,1599782400,,,4,0,2,2020-08-03,0.72,0.84,+16.5,2020-10-29
95,PLAN,"Anaplan, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,,,,,2,0,1,2020-08-25,-0.12,-0.04,+66.94,2020-11-19
96,AU,AngloGold Ashanti Limited,NYSE,Basic Industries,Precious Metals,0.09,1583971200,,,1,0,0,2020-08-06,0.95,0.63,-33.33,
97,BUD,Anheuser-Busch Inbev SA,NYSE,Consumer Non-Durables,Beverages (Production/Distribution),1.45,1591660800,,,0,0,2,2020-07-29,0.24,0.46,+93.28,
98,NLY,Annaly Capital Management Inc,NYSE,Consumer Services,Real Estate Investment Trusts,0.88,1601337600,,,4,0,2,2020-07-28,0.22,0.27,+21.08,2020-10-28
99,AM,Antero Midstream Corporation,NYSE,Public Utilities,Natural Gas Distribution,1.23,1595980800,,,0,0,0,2020-07-28,0.22,0.18,-16.28,2020-10-27
100,AR,Antero Resources Corporation,NYSE,Energy,Oil & Gas Production,,,,,0,4,3,2020-07-28,-0.16,-0.37,-128.4,2020-10-27
101,ANTM,"Anthem, Inc.",NYSE,Health Care,Medical Specialities,3.8,1599609600,,,3,0,2,2020-07-28,8.88,9.2,+3.66,2020-10-28
102,AON,Aon plc,NYSE,Finance,Specialty Insurers,1.76,1596153600,,,3,0,2,2020-07-30,1.93,1.96,+1.61,2020-10-26
103,APG,APi Group Corporation,NYSE,Basic Industries,Engineering & Construction,,,,,0,0,0,2020-08-11,0.12,0.32,+160.16,
104,ARI,Apollo Commercial Real Estate Finance,NYSE,Consumer Services,Real Estate Investment Trusts,1.4,1593388800,,,0,0,1,2020-07-29,0.29,-0.07,-124.14,2020-10-21
105,APO,"Apollo Global Management, Inc",NYSE,Finance,Investment Managers,1.96,1597622400,,,3,0,6,2020-07-29,0.48,0.46,-3.56,2020-10-29
106,APLE,"Apple Hospitality REIT, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,,1583193600,,,0,0,1,2020-08-05,-0.29,-0.35,-18.64,2020-11-02
107,AIT,"Applied Industrial Technologies, Inc.",NYSE,Consumer Durables,Industrial Specialties,1.28,1597276800,,,1,0,0,2020-08-11,0.68,0.8,+17.65,2020-10-28
108,ATR,"AptarGroup, Inc.",NYSE,Consumer Non-Durables,Plastic Products,1.44,1595894400,,,0,0,0,2020-07-29,0.67,0.8,+19.4,2020-10-29
109,APTV,Aptiv PLC,NYSE,Capital Goods,Auto Parts:O.E.M.,,1580774400,,,7,0,0,2020-07-29,-1.37,-1.1,+19.83,2020-10-28
110,ARMK,Aramark,NYSE,Consumer Services,Restaurants,0.44,1597708800,,,1,0,5,2020-08-03,-0.67,-0.7,-4.95,2020-11-17
111,ABR,Arbor Realty Trust,NYSE,Consumer Services,Real Estate Investment Trusts,1.24,1597363200,,,2,0,0,2020-07-30,0.27,0.4,+49.25,2020-10-30
112,ARC,"ARC Document Solutions, Inc.",NYSE,Consumer Services,Professional Services,0.04,1588118400,,,0,0,0,2020-08-04,-,-,-,2020-11-04
113,MT,ArcelorMittal,NYSE,Basic Industries,Steel/Iron Ore,,1557964800,,,3,0,0,2020-07-29,-0.5,-0.3,+40,
114,ARCH,"Arch Resources, Inc.",NYSE,Energy,Coal Mining,,1583107200,,,0,0,0,2020-07-27,-2.55,-3.21,-26.03,
115,ADM,Archer-Daniels-Midland Company,NYSE,Consumer Non-Durables,Packaged Foods,1.44,1597708800,,,2,1,1,2020-07-28,0.51,0.85,+66.34,2020-10-29
116,AROC,"Archrock, Inc.",NYSE,Public Utilities,Natural Gas Distribution,0.58,1596758400,,,0,0,0,2020-07-29,0.13,-0.2,-260,2020-10-26
117,ARNC,Arconic Corporation,NYSE,,,,,,,0,0,0,2020-08-03,-0.16,-0.84,-418.52,
118,ARCO,Arcos Dorados Holdings Inc.,NYSE,Consumer Services,Restaurants,0.16,1607040000,2020-07-31 00:00:00,76:75,2,0,0,2020-08-11,-0.37,-0.43,-16.22,2020-11-11
119,ACA,"Arcosa, Inc.",NYSE,Capital Goods,Metal Fabrications,0.2,1602633600,,,1,0,0,2020-07-29,0.6,0.73,+22.28,2020-10-28
120,RCUS,"Arcus Biosciences, Inc.",NYSE,Health Care,Major Pharmaceuticals,,,,,1,0,0,2020-08-05,-0.61,-0.93,-51.96,2020-11-03
121,ARD,Ardagh Group S.A.,NYSE,Consumer Durables,Containers/Packaging,0.6,1600214400,,,0,1,0,2020-07-22,0.31,0.37,+21.31,2020-10-29
122,ASC,Ardmore Shipping Corporation,NYSE,Transportation,Marine Transportation,,1582156800,,,0,0,0,2020-07-27,0.43,0.41,-5.31,
123,ACRE,Ares Commercial Real Estate Corporation,NYSE,Consumer Services,Real Estate Investment Trusts,1.32,1593388800,,,1,0,0,2020-08-05,0.25,0.32,+26.98,2020-11-06
124,ARES,Ares Management Corporation,NYSE,Finance,Investment Managers,1.6,1600128000,,,0,0,0,2020-08-04,0.38,0.39,+3.17,2020-10-29
125,AGX,"Argan, Inc.",NYSE,Basic Industries,Engineering & Construction,1,1595376000,,,0,0,0,2020-09-08,0.05,0.36,+700,2020-12-08
126,ANET,"Arista Networks, Inc.",NYSE,Technology,Computer Communications Equipment,,,,,1,0,6,2020-08-03,1.95,2.11,+8.43,2020-10-29
127,AI,Arlington Asset Investment Corp,NYSE,Consumer Services,Real Estate Investment Trusts,,1577664000,,,0,0,0,2020-07-29,0.02,0.01,-58.33,
128,AIW,Arlington Asset Investment Corp,NYSE,Consumer Services,Real Estate Investment Trusts,,,,,0,0,0,2020-07-29,0.02,0.01,-58.33,2020-11-05
129,ARLO,"Arlo Technologies, Inc.",NYSE,Consumer Non-Durables,Consumer Electronics/Appliances,,,,,1,0,0,2020-08-04,-0.41,-0.31,+23.83,2020-11-05
130,AHH,"Armada Hoffler Properties, Inc.",NYSE,Finance,Real Estate,0.44,1601337600,,,1,0,1,2020-08-03,0.1,0.14,+47.37,2020-10-29
131,ARR,"ARMOUR Residential REIT, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,1.2,1600041600,,,0,1,1,2020-07-21,0.26,0.19,-26.92,2020-10-21
132,AFI,"Armstrong Flooring, Inc.",NYSE,Consumer Non-Durables,Plastic Products,,,,,1,0,1,2020-07-22,-,-,-,2020-11-03
133,AWI,Armstrong World Industries Inc,NYSE,Consumer Non-Durables,Plastic Products,0.8,1596585600,,,1,0,0,2020-07-27,0.92,0.75,-18.12,2020-10-26
134,ARW,"Arrow Electronics, Inc.",NYSE,Technology,Electronic Components,,535161600,,,0,0,5,2020-07-29,1.45,1.59,+9.58,2020-10-29
135,AJG,Arthur J. Gallagher & Co.,NYSE,Finance,Specialty Insurers,1.8,1599091200,,,4,0,4,2020-07-29,0.73,0.94,+29.66,2020-10-22
136,APAM,Artisan Partners Asset Management Inc.,NYSE,Finance,Investment Managers,2.54,1589414400,,,4,0,0,2020-07-27,0.61,0.71,+16.39,2020-10-27
137,ABG,Asbury Automotive Group Inc,NYSE,Consumer Durables,Automotive Aftermarket,,1217376000,,,0,0,5,2020-07-27,2.49,2.52,+1.16,2020-10-20
138,ASX,"ASE Technology Holding Co., Ltd.",NYSE,Technology,Semiconductors,,1565654400,,,0,0,0,2020-07-30,0.1,0.11,+12.63,
139,ASGN,ASGN Incorporated,NYSE,Technology,Professional Services,,,,,4,0,2,2020-07-28,0.87,1.17,+34.79,2020-10-21
140,AHT,Ashford Hospitality Trust Inc,NYSE,Consumer Services,Real Estate Investment Trusts,,1577664000,2020-07-16 00:00:00,1:10,0,0,0,2020-07-28,-15,-20.85,-39,2020-10-27
141,ASH,Ashland Global Holdings Inc.,NYSE,Consumer Durables,Specialty Chemicals,1.1,1598832000,,,6,0,1,2020-07-27,0.8,0.84,+4.74,2020-11-16
142,ASPN,"Aspen Aerogels, Inc.",NYSE,Consumer Services,RETAIL: Building Materials,,,,,1,0,0,2020-07-29,-0.2,-0.21,-2.44,
143,AMK,"AssetMark Financial Holdings, Inc.",NYSE,Finance,Investment Managers,,,,,2,0,0,2020-08-03,0.22,0.21,-4.55,
144,ASB,Associated Banc-Corp,NYSE,Finance,Major Banks,0.72,1598832000,,,0,0,5,2020-07-22,0.31,0.94,+204.21,2020-10-22
145,AC,"Associated Capital Group, Inc.",NYSE,Finance,Investment Bankers/Brokers/Service,0.2,1592179200,2020-07-29 00:00:00,1005:1000,0,0,0,2020-08-05,-,-,-,
146,AIZ,"Assurant, Inc.",NYSE,Finance,Property-Casualty Insurers,2.52,1598572800,,,3,0,0,2020-08-03,2.09,2.75,+31.58,2020-11-03
147,AIZP,"Assurant, Inc.",NYSE,Finance,Property-Casualty Insurers,6.5,1598832000,,,0,0,0,2020-08-03,2.09,2.75,+31.58,2020-11-03
148,AGO,Assured Guaranty Ltd.,NYSE,Finance,Property-Casualty Insurers,0.8,1597708800,,,0,0,0,2020-08-06,0.69,1.36,+97.1,2020-11-05
149,AZN,Astrazeneca PLC,NYSE,Health Care,Major Pharmaceuticals,1.4,1597276800,,,2,0,0,2020-07-29,0.44,0.48,+9.09,
150,HOME,At Home Group Inc.,NYSE,Consumer Services,Home Furnishings,,,,,1,0,3,2020-08-31,1.31,1.41,+7.8,2020-12-02
151,T,AT&T Inc.,NYSE,Public Utilities,Telecommunications Equipment,2.08,1594252800,,,6,1,0,2020-07-22,0.79,0.83,+4.67,2020-10-22
152,ATTO,Atento S.A.,NYSE,Public Utilities,Telecommunications Equipment,,1510185600,2020-07-30 00:00:00,198:1000,0,0,0,2020-08-05,-1.27,-0.72,+43.31,2020-11-11
153,ATH,Athene Holding Ltd.,NYSE,Finance,Life Insurance,,,,,4,0,0,2020-08-04,1.71,2.49,+45.61,2020-11-03
154,ATKR,Atkore International Group Inc.,NYSE,Miscellaneous,Industrial Machinery/Components,,,,,0,0,2,2020-08-03,0.48,0.67,+39,
155,AT,Atlantic Power Corporation,NYSE,Energy,Electric Utilities: Central,,1448409600,,,0,0,1,2020-08-05,0.03,0.01,-66.67,
156,ATCO,Atlas Corp.,NYSE,Transportation,Marine Transportation,0.5,1594944000,,,0,0,0,2020-08-10,0.28,0.29,+4.69,
157,ATO,Atmos Energy Corporation,NYSE,Public Utilities,Oil/Gas Transmission,2.3,1597968000,,,1,0,2,2020-08-04,0.76,0.79,+4.22,2020-11-04
158,ATHM,Autohome Inc.,NYSE,Technology,EDP Services,0.77,1586822400,,,0,0,0,2020-08-24,7.12,7.36,+3.31,2020-11-03
159,ALV,"Autoliv, Inc.",NYSE,Capital Goods,Auto Parts:O.E.M.,,1589760000,,,2,0,3,2020-07-16,-1.03,-1.4,-36.32,2020-10-23
160,AN,"AutoNation, Inc.",NYSE,Consumer Durables,Automotive Aftermarket,,,,,2,2,2,2020-07-22,0.37,1.41,+278.02,2020-10-27
161,AVLR,"Avalara, Inc.",NYSE,Technology,Computer Software: Prepackaged Software,,,,,5,0,0,2020-08-03,-0.1,0.05,+149.5,2020-11-03
162,AVB,"AvalonBay Communities, Inc.",NYSE,Consumer Services,Real Estate Investment Trusts,6.36,1593388800,,,0,2,0,2020-07-28,1.03,1.21,+17.7,2020-10-26
163,AGR,"Avangrid, Inc.",NYSE,Public Utilities,Electric Utilities: Central,1.76,1598832000,,,1,0,1,2020-07-20,0.34,0.32,-4.76,2020-10-20
164,AVNS,"Avanos Medical, Inc.",NYSE,Health Care,Industrial Specialties,,,,,0,1,0,2020-08-03,-0.1,0.13,+230,2020-11-03
165,AVTR,"Avantor, Inc.",NYSE,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,4,0,1,2020-07-28,0.14,0.19,+31.94,2020-11-03
166,AVNT,Avient Corporation,NYSE,Basic Industries,Major Chemicals,0.81,1600300800,,,3,0,0,2020-07-21,0.27,0.28,+5.26,2020-10-20
167,AVA,Avista Corporation,NYSE,Public Utilities,Power Generation,1.62,1597795200,,,0,0,0,2020-08-04,0.32,0.26,-19.25,2020-11-05
